table_name	column_name	data_type	Caraterizar	Descripcion
df_Cobertura_distinct	departamento_oferta	VARCHAR	1	El departamento de oferta es donde se oferta el programa, un programa puede ofertarse en varios lugares en este caso es contar el numero de departamentos de oferta para cada codigo_snies_del_programa
df_Cobertura_distinct	snies_divipola	VARCHAR	1	La llave para realizar analisis a nivel de municipio es snies_divipola, esta variable tambien permite analizar cualquier variable que se requiera para la cobertura
df_Graduados_agg	snies_divipola	VARCHAR	1	todos los calculos que se hagan con las variables termindas en "_agg" se deben resalizar con cruces y filtros usando la varaible "snies_divipola". Esto la KPI por municipio que despues se pueden agrupar por departamento o por programa academico como se desee. para estas agrupaciones se tomaria la varaible snies o divipola
df_Matricula_agg	matricula_sum	DOUBLE	1	Las variables terminadas en "_sum" son sumas sobre los semestres pues oficialmente se reporta por semestre pero nosotros hacemos infomres anuales nuestra granularidad es anual
df_OLE_Movilidad	graduados	DOUBLE	1	Los graduados deberían coincidir con los graduados del snies pero no es asi en todos los casos por alguna razon el OLE y el SNIES parecen teern cortes diferentes. Esta variable se usa es como la base para calcular los porcentajes de graduados_que_cotizan y graduados_cotizantes_dependientes. 
df_OLE_Movilidad	graduados_que_cotizan	DOUBLE	1	Esta variable se usa en combinación con la variables graduados para calcular porcentajes
df_OLE_Movilidad	graduados_cotizantes_dependientes	DOUBLE	1	Esta variable se usa en combinación con la variables graduados para calcular porcentajes
df_OLE_Movilidad_M0	graduados	DOUBLE	1	Se llama "M0" cuando se ha calculado justo para el año siguiente, en este caso es la movilidad al año siguiente. Los graduados deberían coincidir con los graduados del snies pero no es asi en todos los casos por alguna razon el OLE y el SNIES parecen teern cortes diferentes. Esta variable se usa es como la base para calcular los porcentajes de graduados_que_cotizan y graduados_cotizantes_dependientes. 
df_OLE_Movilidad_M0	graduados_que_cotizan	DOUBLE	1	Se llama "M0" cuando se ha calculado justo para el año siguiente, en este caso es la movilidad al año siguiente. Esta variable se usa en combinación con la variables graduados para calcular porcentajes
df_OLE_Movilidad_M0	graduados_cotizantes_dependientes	DOUBLE	1	Se llama "M0" cuando se ha calculado justo para el año siguiente, en este caso es la movilidad al año siguiente. Esta variable se usa en combinación con la variables graduados para calcular porcentajes
